"str_cia_CVM","dte_refer","dt_publi"
"SLC AGRICOLA S.A.","2014-03-31","2014-05-08"
"SLC AGRICOLA S.A.","2014-06-30","2014-08-13"
"SLC AGRICOLA S.A.","2014-09-30","2014-11-12"
"KLABIN S.A.","2014-03-31","2014-04-24"
"KLABIN S.A.","2014-06-30","2014-07-30"
"KLABIN S.A.","2014-09-30","2014-10-28"
"GRENDENE S.A.","2014-03-31","2014-04-24"
"GRENDENE S.A.","2014-06-30","2014-07-24"
"GRENDENE S.A.","2014-09-30","2014-10-23"
"MINUPAR PARTICIPACOES S.A.","2014-03-31","2014-05-14"
"MINUPAR PARTICIPACOES S.A.","2014-06-30","2014-08-12"
"MINUPAR PARTICIPACOES S.A.","2014-09-30","2014-11-12"
"UNICASA INDÚSTRIA DE MÓVEIS S.A.","2014-03-31","2014-05-07"
"UNICASA INDÚSTRIA DE MÓVEIS S.A.","2014-06-30","2014-08-11"
"UNICASA INDÚSTRIA DE MÓVEIS S.A.","2014-09-30","2014-11-11"
"RECRUSUL S.A.","2014-03-31","2014-05-15"
"RECRUSUL S.A.","2014-06-30","2014-08-22"
"RECRUSUL S.A.","2014-09-30","2015-03-03"
"KEPLER WEBER S.A.","2014-03-31","2014-05-12"
"KEPLER WEBER S.A.","2014-06-30","2014-08-15"
"KEPLER WEBER S.A.","2014-09-30","2014-11-13"
"GRAZZIOTIN S.A.","2014-03-31","2014-05-12"
"GRAZZIOTIN S.A.","2014-06-30","2014-08-04"
"GRAZZIOTIN S.A.","2014-09-30","2014-11-10"
"TREVISA INVESTIMENTOS S.A.","2014-03-31","2014-05-15"
"TREVISA INVESTIMENTOS S.A.","2014-06-30","2014-08-14"
"TREVISA INVESTIMENTOS S.A.","2014-09-30","2014-11-14"
"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","2014-03-31","2014-05-15"
"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","2014-06-30","2014-08-14"
"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","2014-09-30","2014-11-14"
"METALURGICA GERDAU S.A.","2014-03-31","2014-05-07"
"METALURGICA GERDAU S.A.","2014-06-30","2014-07-30"
"METALURGICA GERDAU S.A.","2014-09-30","2014-11-05"
"PANATLANTICA S.A.","2014-03-31","2014-05-13"
"PANATLANTICA S.A.","2014-06-30","2014-08-12"
"PANATLANTICA S.A.","2014-09-30","2014-11-13"
"LOJAS RENNER S.A.","2014-03-31","2014-04-29"
"LOJAS RENNER S.A.","2014-06-30","2014-07-22"
"LOJAS RENNER S.A.","2014-09-30","2014-10-23"
"TAURUS ARMAS S.A.","2014-03-31","2014-05-15"
"TAURUS ARMAS S.A.","2014-06-30","2014-08-14"
"TAURUS ARMAS S.A.","2014-09-30","2014-11-13"
"TELEC BRASILEIRAS S.A. TELEBRAS","2015-03-31","2015-04-09"
"TELEC BRASILEIRAS S.A. TELEBRAS","2015-06-30","2015-08-06"
"TELEC BRASILEIRAS S.A. TELEBRAS","2015-09-30","2015-11-12"
"AMERICANAS S.A.","2015-03-31","2015-05-07"
"AMERICANAS S.A.","2015-06-30","2015-08-13"
"AMERICANAS S.A.","2015-09-30","2015-11-12"
"ENERGISA S.A.","2015-03-31","2015-05-15"
"ENERGISA S.A.","2015-06-30","2015-08-14"
"ENERGISA S.A.","2015-09-30","2015-11-13"
"FERROVIA CENTRO-ATLANTICA S.A.","2015-03-31","2015-05-08"
"FERROVIA CENTRO-ATLANTICA S.A.","2015-06-30","2015-08-14"
"FERROVIA CENTRO-ATLANTICA S.A.","2015-09-30","2015-11-13"
"CIELO S.A.","2015-03-31","2015-04-29"
"CIELO S.A.","2015-06-30","2015-07-29"
"CIELO S.A.","2015-09-30","2015-11-05"
"NEOENERGIA S.A.","2015-03-31","2015-05-14"
"NEOENERGIA S.A.","2015-06-30","2015-08-13"
"NEOENERGIA S.A.","2015-09-30","2015-11-12"
"GAFISA S.A.","2015-03-31","2015-05-07"
"GAFISA S.A.","2015-06-30","2015-08-07"
"GAFISA S.A.","2015-09-30","2015-11-06"
"PORTO SEGURO S.A.","2015-03-31","2015-05-05"
"PORTO SEGURO S.A.","2015-06-30","2015-08-04"
"PORTO SEGURO S.A.","2015-09-30","2015-11-04"
"TEGMA GESTAO LOGISTICA S.A.","2015-03-31","2015-05-07"
"TEGMA GESTAO LOGISTICA S.A.","2015-06-30","2015-08-06"
"TEGMA GESTAO LOGISTICA S.A.","2015-09-30","2015-11-05"
"PADTEC HOLDING S.A.","2015-03-31","2015-05-15"
"PADTEC HOLDING S.A.","2015-06-30","2015-08-14"
"PADTEC HOLDING S.A.","2015-09-30","2015-11-13"
"RUMO S.A.","2015-03-31","2015-05-11"
"RUMO S.A.","2015-06-30","2015-10-01"
"RUMO S.A.","2015-09-30","2015-11-13"
"CPFL ENERGIA S.A.","2015-03-31","2015-05-08"
"CPFL ENERGIA S.A.","2015-06-30","2015-08-13"
"CPFL ENERGIA S.A.","2015-09-30","2015-11-12"
"ENGIE BRASIL ENERGIA S.A.","2015-03-31","2015-04-24"
"ENGIE BRASIL ENERGIA S.A.","2015-06-30","2015-07-24"
"ENGIE BRASIL ENERGIA S.A.","2015-09-30","2015-11-06"
"TELEFÔNICA BRASIL S.A","2015-03-31","2015-05-13"
"TELEFÔNICA BRASIL S.A","2015-06-30","2015-07-29"
"TELEFÔNICA BRASIL S.A","2015-09-30","2015-11-04"
"SANTOS BRASIL PARTICIPACOES S.A.","2015-03-31","2015-04-29"
"SANTOS BRASIL PARTICIPACOES S.A.","2015-06-30","2015-08-05"
"SANTOS BRASIL PARTICIPACOES S.A.","2015-09-30","2015-10-28"
"JBS S.A.","2015-03-31","2015-05-13"
"JBS S.A.","2015-06-30","2015-08-13"
"JBS S.A.","2015-09-30","2015-11-11"
"HYPERA S.A.","2015-03-31","2015-04-24"
"HYPERA S.A.","2015-06-30","2015-07-24"
"HYPERA S.A.","2015-09-30","2015-10-30"
"EQUATORIAL ENERGIA S.A.","2015-03-31","2015-05-07"
"EQUATORIAL ENERGIA S.A.","2015-06-30","2015-08-13"
"EQUATORIAL ENERGIA S.A.","2015-09-30","2015-11-03"
"LIGHT S.A.","2015-03-31","2015-05-08"
"LIGHT S.A.","2015-06-30","2015-08-12"
"LIGHT S.A.","2015-09-30","2015-11-12"
"BRADESPAR S.A.","2015-03-31","2015-05-13"
"BRADESPAR S.A.","2015-06-30","2015-08-12"
"BRADESPAR S.A.","2015-09-30","2015-11-12"
"CPFL GERACAO DE ENERGIA S.A.","2015-03-31","2015-05-08"
"CPFL GERACAO DE ENERGIA S.A.","2015-06-30","2015-08-13"
"CPFL GERACAO DE ENERGIA S.A.","2015-09-30","2015-11-12"
"EDP - ENERGIAS DO BRASIL S.A.","2015-03-31","2015-05-06"
"EDP - ENERGIAS DO BRASIL S.A.","2015-06-30","2015-07-29"
"EDP - ENERGIAS DO BRASIL S.A.","2015-09-30","2015-10-28"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2015-03-31","2015-05-11"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2015-06-30","2015-08-14"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2015-09-30","2015-11-10"
"ENEVA S.A","2015-03-31","2015-05-14"
"ENEVA S.A","2015-06-30","2015-08-13"
"ENEVA S.A","2015-09-30","2015-11-12"
"BIOMM S.A.","2015-03-31","2015-05-08"
"BIOMM S.A.","2015-06-30","2015-08-14"
"BIOMM S.A.","2015-09-30","2015-11-06"
"METALFRIO SOLUTIONS S.A.","2015-03-31","2015-05-07"
"METALFRIO SOLUTIONS S.A.","2015-06-30","2015-08-10"
"METALFRIO SOLUTIONS S.A.","2015-09-30","2015-11-09"
"SER EDUCACIONAL S.A.","2015-03-31","2015-05-15"
"SER EDUCACIONAL S.A.","2015-06-30","2015-08-14"
"SER EDUCACIONAL S.A.","2015-09-30","2015-11-13"
"BANCO SANTANDER S.A.","2015-03-31","2015-05-14"
"BANCO SANTANDER S.A.","2015-06-30","2015-08-07"
"BANCO SANTANDER S.A.","2015-09-30","2015-11-05"
"ALIANSCE SONAE SHOPPING CENTERS S.A.","2015-03-31","2015-05-06"
"ALIANSCE SONAE SHOPPING CENTERS S.A.","2015-06-30","2015-08-05"
"ALIANSCE SONAE SHOPPING CENTERS S.A.","2015-09-30","2015-11-09"
"GOL LINHAS AEREAS INTELIGENTES S.A.","2015-03-31","2015-05-12"
"GOL LINHAS AEREAS INTELIGENTES S.A.","2015-06-30","2015-08-13"
"GOL LINHAS AEREAS INTELIGENTES S.A.","2015-09-30","2015-11-11"
"BR MALLS PARTICIPACOES S.A.","2015-03-31","2015-05-05"
"BR MALLS PARTICIPACOES S.A.","2015-06-30","2015-08-03"
"BR MALLS PARTICIPACOES S.A.","2015-09-30","2015-11-02"
"BR PROPERTIES S.A.","2015-03-31","2015-05-04"
"BR PROPERTIES S.A.","2015-06-30","2015-08-03"
"BR PROPERTIES S.A.","2015-09-30","2015-11-03"
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","2015-03-31","2015-04-27"
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","2015-06-30","2015-07-27"
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","2015-09-30","2015-10-26"
"AMBEV S.A.","2015-03-31","2015-05-06"
"AMBEV S.A.","2015-06-30","2015-07-30"
"AMBEV S.A.","2015-09-30","2015-10-30"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2015-03-31","2015-05-07"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2015-09-30","2015-11-05"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2015-12-31","2016-02-03"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2015-03-31","2015-05-13"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2015-06-30","2015-08-12"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2015-09-30","2015-11-16"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2015-03-31","2015-05-14"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2015-06-30","2015-08-13"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2015-09-30","2015-11-12"
"GP INVESTMENTS, LTD.","2015-03-31","2015-05-14"
"GP INVESTMENTS, LTD.","2015-06-30","2015-08-14"
"GP INVESTMENTS, LTD.","2015-09-30","2015-11-12"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2015-03-31","2015-05-08"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2015-06-30","2015-08-07"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2015-09-30","2015-11-05"
"TECNISA S.A.","2015-03-31","2015-04-29"
"TECNISA S.A.","2015-06-30","2015-07-29"
"TECNISA S.A.","2015-09-30","2015-11-12"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2015-03-31","2015-05-11"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2015-06-30","2015-08-14"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2015-09-30","2015-11-13"
"JHSF PARTICIPACOES S.A.","2015-03-31","2015-05-11"
"JHSF PARTICIPACOES S.A.","2015-06-30","2015-08-13"
"JHSF PARTICIPACOES S.A.","2015-09-30","2015-11-12"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2015-03-31","2015-05-07"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2015-06-30","2015-08-13"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2015-09-30","2015-11-12"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2015-03-31","2015-05-12"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2015-06-30","2015-08-14"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2015-09-30","2015-11-12"
"GUARARAPES CONFECCOES S.A.","2015-03-31","2015-05-05"
"GUARARAPES CONFECCOES S.A.","2015-06-30","2015-08-04"
"GUARARAPES CONFECCOES S.A.","2015-09-30","2015-11-13"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2015-03-31","2015-05-07"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2015-06-30","2015-08-12"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2015-09-30","2015-11-11"
"CIA CELG DE PARTICIPACOES - CELGPAR","2015-03-31","2015-05-15"
"CIA CELG DE PARTICIPACOES - CELGPAR","2015-06-30","2015-08-14"
"CIA CELG DE PARTICIPACOES - CELGPAR","2015-09-30","2015-11-13"
"BRASIL BROKERS PARTICIPACOES S.A.","2015-03-31","2015-05-14"
"BRASIL BROKERS PARTICIPACOES S.A.","2015-06-30","2015-08-11"
"BRASIL BROKERS PARTICIPACOES S.A.","2015-09-30","2015-11-12"
"TRISUL S.A.","2015-03-31","2015-05-14"
"TRISUL S.A.","2015-06-30","2015-08-13"
"TRISUL S.A.","2015-09-30","2015-11-13"
"DOMMO ENERGIA S.A.","2015-03-31","2015-05-14"
"DOMMO ENERGIA S.A.","2015-06-30","2015-08-13"
"DOMMO ENERGIA S.A.","2015-09-30","2015-11-16"
"OSX BRASIL S.A.","2015-03-31","2015-06-15"
"OSX BRASIL S.A.","2015-06-30","2015-08-14"
"OSX BRASIL S.A.","2015-09-30","2015-11-13"
"TECHNOS S.A.","2015-03-31","2015-04-29"
"TECHNOS S.A.","2015-06-30","2015-07-30"
"TECHNOS S.A.","2015-09-30","2015-10-29"
"PETRO RIO S.A.","2015-03-31","2015-05-14"
"PETRO RIO S.A.","2015-06-30","2015-08-20"
"PETRO RIO S.A.","2015-09-30","2015-11-12"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2015-03-31","2015-05-14"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2015-06-30","2015-08-13"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2015-09-30","2015-11-12"
"MOURA DUBEUX ENGENHARIA S/A","2015-03-31","2015-05-14"
"MOURA DUBEUX ENGENHARIA S/A","2015-06-30","2015-08-12"
"MOURA DUBEUX ENGENHARIA S/A","2015-09-30","2015-11-13"
"HIDROVIAS DO BRASIL S.A.","2015-03-31","2015-05-15"
"HIDROVIAS DO BRASIL S.A.","2015-06-30","2015-08-14"
"HIDROVIAS DO BRASIL S.A.","2015-09-30","2015-11-13"
"PARANA BCO S.A.","2015-03-31","2015-05-14"
"PARANA BCO S.A.","2015-06-30","2015-08-11"
"PARANA BCO S.A.","2015-09-30","2015-11-11"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2015-03-31","2015-05-12"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2015-06-30","2015-08-13"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2015-09-30","2015-11-10"
"TRONOX PIGMENTOS DO BRASIL S.A.","2015-03-31","2015-05-14"
"TRONOX PIGMENTOS DO BRASIL S.A.","2015-06-30","2015-08-12"
"TRONOX PIGMENTOS DO BRASIL S.A.","2015-09-30","2015-11-13"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2015-03-31","2015-05-06"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2015-06-30","2015-08-05"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2015-09-30","2015-11-05"
"DIRECIONAL ENGENHARIA S.A.","2015-03-31","2015-05-15"
"DIRECIONAL ENGENHARIA S.A.","2015-06-30","2015-08-10"
"DIRECIONAL ENGENHARIA S.A.","2015-09-30","2015-11-09"
"LOCALIZA RENT A CAR S.A.","2015-03-31","2015-04-24"
"LOCALIZA RENT A CAR S.A.","2015-06-30","2015-07-23"
"LOCALIZA RENT A CAR S.A.","2015-09-30","2015-10-22"
"ALFA HOLDINGS S.A.","2015-03-31","2015-05-14"
"ALFA HOLDINGS S.A.","2015-06-30","2015-08-13"
"ALFA HOLDINGS S.A.","2015-09-30","2015-11-12"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2015-03-31","2015-05-14"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2015-06-30","2015-08-13"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2015-09-30","2015-11-12"
"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.","2015-03-31","2015-05-11"
"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.","2015-06-30","2015-08-10"
"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.","2015-09-30","2015-11-11"
"COSAN LOGISTICA S.A.","2015-03-31","2015-05-06"
"COSAN LOGISTICA S.A.","2015-06-30","2015-08-13"
"COSAN LOGISTICA S.A.","2015-09-30","2015-11-05"
"OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.","2015-03-31","2015-05-05"
"OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.","2015-06-30","2015-08-11"
"OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.","2015-09-30","2015-10-26"
"CIA TECIDOS SANTANENSE","2015-03-31","2015-05-15"
"CIA TECIDOS SANTANENSE","2015-06-30","2015-08-14"
"CIA TECIDOS SANTANENSE","2015-09-30","2015-11-16"
"MOVIDA PARTICIPACOES SA","2015-03-31","2016-02-01"
"MOVIDA PARTICIPACOES SA","2015-06-30","2016-02-01"
"MOVIDA PARTICIPACOES SA","2015-09-30","2016-02-01"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2015-03-31","2015-05-15"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2015-06-30","2015-08-14"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2015-09-30","2015-11-16"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2015-03-31","2015-05-06"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2015-06-30","2015-08-05"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2015-09-30","2015-11-04"
"BCO ABC BRASIL S.A.","2015-03-31","2015-05-08"
"BCO ABC BRASIL S.A.","2015-06-30","2015-08-11"
"BCO ABC BRASIL S.A.","2015-09-30","2015-11-06"
"SUL AMERICA S.A.","2015-03-31","2015-04-29"
"SUL AMERICA S.A.","2015-06-30","2015-07-30"
"SUL AMERICA S.A.","2015-09-30","2015-10-29"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2015-03-31","2015-05-15"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2015-06-30","2015-08-06"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2015-09-30","2015-11-12"
"LOJAS AMERICANAS S.A.","2015-03-31","2015-05-07"
"LOJAS AMERICANAS S.A.","2015-06-30","2015-08-13"
"LOJAS AMERICANAS S.A.","2015-09-30","2015-11-12"
"CIA SIDERURGICA NACIONAL","2015-03-31","2015-05-06"
"CIA SIDERURGICA NACIONAL","2015-06-30","2015-08-13"
"CIA SIDERURGICA NACIONAL","2015-09-30","2015-11-13"
"MONTEIRO ARANHA S.A.","2015-03-31","2015-05-15"
"MONTEIRO ARANHA S.A.","2015-06-30","2015-08-14"
"MONTEIRO ARANHA S.A.","2015-09-30","2015-11-13"
"ULTRAPAR PARTICIPACOES S.A.","2015-03-31","2015-05-06"
"ULTRAPAR PARTICIPACOES S.A.","2015-06-30","2015-08-05"
"ULTRAPAR PARTICIPACOES S.A.","2015-09-30","2015-11-04"
"VALE S.A.","2015-03-31","2015-04-30"
"VALE S.A.","2015-06-30","2015-07-30"
"VALE S.A.","2015-09-30","2015-10-22"
"GERDAU S.A.","2015-03-31","2015-05-06"
"GERDAU S.A.","2015-06-30","2015-08-12"
"GERDAU S.A.","2015-09-30","2015-10-29"
"BRASKEM S.A.","2015-03-31","2015-05-07"
"BRASKEM S.A.","2015-06-30","2015-08-06"
"BRASKEM S.A.","2015-09-30","2015-11-05"
"LOG-IN LOGISTICA INTERMODAL S.A.","2015-03-31","2015-05-14"
"LOG-IN LOGISTICA INTERMODAL S.A.","2015-06-30","2015-08-13"
"LOG-IN LOGISTICA INTERMODAL S.A.","2015-09-30","2015-11-12"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2015-03-31","2015-05-07"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2015-06-30","2015-08-06"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2015-09-30","2015-11-12"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2015-03-31","2015-05-11"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2015-06-30","2015-08-11"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2015-09-30","2015-11-10"
"MAGAZINE LUIZA S.A.","2015-03-31","2015-05-07"
"MAGAZINE LUIZA S.A.","2015-06-30","2015-07-30"
"MAGAZINE LUIZA S.A.","2015-09-30","2015-11-09"
"HELBOR EMPREENDIMENTOS S.A.","2015-03-31","2015-05-12"
"HELBOR EMPREENDIMENTOS S.A.","2015-06-30","2015-08-13"
"HELBOR EMPREENDIMENTOS S.A.","2015-09-30","2015-11-12"
"BOMBRIL S.A.","2015-03-31","2015-05-15"
"BOMBRIL S.A.","2015-06-30","2015-08-14"
"BOMBRIL S.A.","2015-09-30","2015-11-13"
"VULCABRAS S.A.","2015-03-31","2015-05-08"
"VULCABRAS S.A.","2015-06-30","2015-08-12"
"VULCABRAS S.A.","2015-09-30","2015-11-09"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2015-03-31","2015-05-11"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2015-06-30","2015-08-10"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2015-09-30","2015-11-13"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2015-03-31","2015-05-11"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2015-06-30","2015-08-10"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2015-09-30","2015-11-10"
"SAO MARTINHO S.A.","2015-06-30","2015-08-10"
"SAO MARTINHO S.A.","2015-09-30","2015-11-09"
"SAO MARTINHO S.A.","2015-12-31","2016-02-12"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2015-03-31","2015-04-28"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2015-06-30","2015-07-29"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2015-09-30","2015-10-27"
"TOTVS S.A.","2015-03-31","2015-05-06"
"TOTVS S.A.","2015-06-30","2015-08-05"
"TOTVS S.A.","2015-09-30","2015-10-28"
"BICICLETAS MONARK S.A.","2015-03-31","2015-05-13"
"BICICLETAS MONARK S.A.","2015-06-30","2015-08-10"
"BICICLETAS MONARK S.A.","2015-09-30","2015-11-12"
"ODONTOPREV S.A.","2015-03-31","2015-04-29"
"ODONTOPREV S.A.","2015-06-30","2015-07-29"
"ODONTOPREV S.A.","2015-09-30","2015-10-28"
"WHIRLPOOL S.A.","2015-03-31","2015-05-05"
"WHIRLPOOL S.A.","2015-06-30","2015-07-27"
"WHIRLPOOL S.A.","2015-09-30","2015-11-06"
"PARANAPANEMA S.A.","2015-03-31","2015-04-27"
"PARANAPANEMA S.A.","2015-06-30","2015-07-29"
"PARANAPANEMA S.A.","2015-09-30","2015-10-28"
"MAHLE-METAL LEVE S.A.","2015-03-31","2015-05-11"
"MAHLE-METAL LEVE S.A.","2015-06-30","2015-08-10"
"MAHLE-METAL LEVE S.A.","2015-09-30","2015-11-09"
"FLEURY S.A.","2015-03-31","2015-04-29"
"FLEURY S.A.","2015-06-30","2015-07-30"
"FLEURY S.A.","2015-09-30","2015-10-29"
"ITAU UNIBANCO HOLDING S.A.","2015-03-31","2015-05-05"
"ITAU UNIBANCO HOLDING S.A.","2015-06-30","2015-08-04"
"ITAU UNIBANCO HOLDING S.A.","2015-09-30","2015-11-03"
"MANGELS INDUSTRIAL S.A.","2015-03-31","2015-05-15"
"MANGELS INDUSTRIAL S.A.","2015-06-30","2015-08-14"
"MANGELS INDUSTRIAL S.A.","2015-09-30","2015-11-13"
"ROSSI RESIDENCIAL S.A.","2015-03-31","2015-05-14"
"ROSSI RESIDENCIAL S.A.","2015-06-30","2015-08-12"
"ROSSI RESIDENCIAL S.A.","2015-09-30","2015-11-10"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2015-03-31","2015-05-15"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2015-06-30","2015-08-14"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2015-09-30","2015-10-30"
"CAMBUCI S.A.","2015-03-31","2015-05-15"
"CAMBUCI S.A.","2015-06-30","2015-08-18"
"CAMBUCI S.A.","2015-09-30","2015-11-13"
"IOCHPE MAXION S.A.","2015-03-31","2015-05-07"
"IOCHPE MAXION S.A.","2015-06-30","2015-08-06"
"IOCHPE MAXION S.A.","2015-09-30","2015-11-05"
"SIDERURGICA J. L. ALIPERTI S.A.","2015-03-31","2015-05-13"
"SIDERURGICA J. L. ALIPERTI S.A.","2015-06-30","2015-08-14"
"SIDERURGICA J. L. ALIPERTI S.A.","2015-09-30","2015-11-12"
"MARISA LOJAS S.A.","2015-03-31","2015-05-04"
"MARISA LOJAS S.A.","2015-06-30","2015-08-06"
"MARISA LOJAS S.A.","2015-09-30","2015-10-27"
"BAUMER S.A.","2015-03-31","2015-05-15"
"BAUMER S.A.","2015-06-30","2015-08-14"
"BAUMER S.A.","2015-09-30","2015-11-14"
"DIAGNOSTICOS DA AMERICA S.A.","2015-03-31","2015-05-12"
"DIAGNOSTICOS DA AMERICA S.A.","2015-06-30","2015-08-10"
"DIAGNOSTICOS DA AMERICA S.A.","2015-09-30","2015-11-12"
"RAIA DROGASIL S.A.","2015-03-31","2015-04-29"
"RAIA DROGASIL S.A.","2015-06-30","2015-07-30"
"RAIA DROGASIL S.A.","2015-09-30","2015-10-29"
"BCO PINE S.A.","2015-03-31","2015-05-11"
"BCO PINE S.A.","2015-06-30","2015-08-12"
"BCO PINE S.A.","2015-09-30","2015-11-09"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2015-03-31","2015-05-12"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2015-06-30","2015-08-11"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2015-09-30","2015-11-10"
"MINERVA S.A.","2015-03-31","2015-04-29"
"MINERVA S.A.","2015-06-30","2015-08-04"
"MINERVA S.A.","2015-09-30","2015-11-10"
"CONSTRUTORA TENDA S.A.","2015-03-31","2015-05-07"
"CONSTRUTORA TENDA S.A.","2015-06-30","2015-08-07"
"CONSTRUTORA TENDA S.A.","2015-09-30","2015-11-06"
"KARSTEN S.A.","2015-03-31","2015-05-15"
"KARSTEN S.A.","2015-06-30","2015-08-13"
"KARSTEN S.A.","2015-09-30","2015-11-12"
"ELECTRO ACO ALTONA S.A.","2015-03-31","2015-04-30"
"ELECTRO ACO ALTONA S.A.","2015-06-30","2015-08-04"
"ELECTRO ACO ALTONA S.A.","2015-09-30","2015-10-26"
"TEXTIL RENAUXVIEW S.A.","2015-03-31","2015-05-14"
"TEXTIL RENAUXVIEW S.A.","2015-06-30","2015-08-13"
"TEXTIL RENAUXVIEW S.A.","2015-09-30","2015-11-16"
"PBG S/A","2015-03-31","2015-05-15"
"PBG S/A","2015-06-30","2015-08-07"
"PBG S/A","2015-09-30","2015-11-06"
"WEG S.A.","2015-03-31","2015-04-29"
"WEG S.A.","2015-06-30","2015-07-29"
"WEG S.A.","2015-09-30","2015-10-28"
"TUPY S.A.","2015-03-31","2015-05-12"
"TUPY S.A.","2015-06-30","2015-08-12"
"TUPY S.A.","2015-09-30","2015-11-12"
"DOHLER S.A.","2015-03-31","2015-05-15"
"DOHLER S.A.","2015-06-30","2015-08-13"
