"str_cia_CVM","dte_refer","dt_publi"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2011-12-31","2012-02-09"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2011-03-31","2011-05-16"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2011-06-30","2011-08-15"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2011-09-30","2011-11-14"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2011-03-31","2011-05-16"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2011-06-30","2011-08-15"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2011-09-30","2011-11-14"
"GP INVESTMENTS, LTD.","2011-03-31","2011-06-14"
"GP INVESTMENTS, LTD.","2011-06-30","2011-08-15"
"GP INVESTMENTS, LTD.","2011-09-30","2011-11-14"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2011-03-31","2011-05-13"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2011-06-30","2011-08-09"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2011-09-30","2011-11-10"
"TECNISA S.A.","2011-03-31","2011-05-11"
"TECNISA S.A.","2011-06-30","2011-08-04"
"TECNISA S.A.","2011-09-30","2011-11-09"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2011-03-31","2011-05-13"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2011-06-30","2011-08-12"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2011-09-30","2011-11-09"
"JHSF PARTICIPACOES S.A.","2011-03-31","2011-05-16"
"JHSF PARTICIPACOES S.A.","2011-06-30","2011-08-15"
"JHSF PARTICIPACOES S.A.","2011-09-30","2011-11-10"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2011-03-31","2011-05-10"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2011-06-30","2011-08-08"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2011-09-30","2011-11-08"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2011-03-31","2011-05-12"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2011-06-30","2011-08-09"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2011-09-30","2011-11-14"
"GUARARAPES CONFECCOES S.A.","2011-03-31","2011-05-13"
"GUARARAPES CONFECCOES S.A.","2011-06-30","2011-08-11"
"GUARARAPES CONFECCOES S.A.","2011-09-30","2011-11-10"
